stratum,n,delta_mean_chair_i,ci_low_95,ci_high_95,p_delta_ge_0
low_entropy,125,-0.0174296,-0.054540119999999984,0.014541359999999991,0.17
mid_low,125,0.0007336000000000009,-0.03278954,0.029104639999999998,0.519
mid_high,125,0.016512,-0.02187284,0.055199240000000004,0.818
high_entropy,125,0.025135999999999995,-0.010410540000000001,0.06034126,0.899
binary:clean,250,-0.008348000000000001,-0.03265005,0.015429429999999997,0.266
binary:degraded,250,0.020824,-0.008497790000000002,0.04500482999999999,0.929
all,500,0.006238,-0.011850439999999997,0.023543714999999996,0.76
