stratum,vanilla_mean_chair_i,vegas_mean_chair_i,delta_mean_chair_i,vanilla_frac_halluc,vegas_frac_halluc,delta_frac_halluc
low_entropy,0.17369359999999998,0.156264,-0.01742959999999999,0.352,0.336,-0.01599999999999996
mid_low,0.18339599999999998,0.18412959999999998,0.0007336000000000009,0.464,0.448,-0.016000000000000014
mid_high,0.22726480000000004,0.2437768,0.016511999999999943,0.488,0.512,0.02400000000000002
high_entropy,0.19548320000000002,0.22061920000000002,0.02513599999999999,0.4,0.464,0.064
binary:clean,0.1785448,0.1701968,-0.008347999999999994,0.408,0.392,-0.01599999999999996
binary:degraded,0.21137400000000003,0.232198,0.020823999999999954,0.444,0.488,0.043999999999999984
all,0.19495939999999995,0.2011974,0.006238000000000049,0.426,0.44,0.014000000000000012
